filename,basename
Puri.txt,Puri
Coimbra.txt,Coimbra
Khabarovsk.txt,Khabarovsk
Porto_Rico.txt,Porto_Rico
L+nbia.txt,L+nbia
Recife.txt,Recife
Aparecida.txt,Aparecida
Amarante.txt,Amarante
Cuba.txt,Cubatao
Cristalina.txt,Cristalina
China.txt,China
Cotia.txt,Cotia
Ko_Tao.txt,Ko_Tao
R+nmini.txt,R+nmini
Lima.txt,Lima
Anchorage.txt,Anchorage
Korolev.txt,Korolev
Praia.txt,Praia
Lhasa.txt,Lhasa
La_Paz.txt,La_Paz
Juneau.txt,Juneau
Litu+vnia.txt,Litu+vnia
Abrolhos.txt,Abrolhos
Corumba.txt,Corumba
Acores.txt,Acores
Peru.txt,Peru
Lesoto.txt,Lesoto
Lalibela.txt,Lalibela
Costa_Rica.txt,Costa_Rica
Portland.txt,Portland
An+bpolis.txt,An+bpolis
Corvo.txt,Corvo
Cinf+ges.txt,Cinf+ges
R+ssia.txt,R+ssia
Copenhaga.txt,Copenhaga
Algarve.txt,Algarve
Limerick.txt,Limerick
Anguila.txt,Anguila
Cubatao.txt,Cuba
Praga.txt,Praga
Las_Vegas.txt,Las_Vegas
