n,Token,BIO
0,dados,O
1,localização=Image,O
2,LocationLibya.png|noframe|250px,O
3,bandeira=Image,O
4,Flag,O
5,of,O
6,Libya.svg|100px,O
7,capital=Tripoli,O
8,governo=Ditadura,O
9,militar,O
10,chamada,O
11,Jamahiriya,O
12,estado,O
13,das,O
14,massas,O
15,moeda=Dinar,O
16,líbio,O
17,LYD,O
18,área=1,O
19,.,O
20,759,O
21,.,O
22,540,O
23,km,O
24,lt,O
25,sup,O
26,gt,O
27,2,O
28,lt,O
29,sup,O
30,gt,O
31,população=5,O
32,.,O
33,900,O
34,.,O
35,754,O
36,estim,O
37,.,O
38,2006,O
39,idioma=Guia,O
40,de,O
41,conversação,O
42,árabe|Árabe,O
43,Guia,O
44,de,O
45,conversação,O
46,italiano|italiano,O
47,e,O
48,Guia,O
49,de,O
50,conversação,O
51,inglês|inglês,O
52,religião=Muçulmanos,O
53,sunitas,O
54,97,O
55,eletricidade=127V/50Hz,O
56,ou,O
57,230V/50Hz,O
58,tld=.ly,O
59,códigotelefônico=+218,O
60,fusohorário=UTC,O
61,2,O
62,Até,O
63,recentemente,O
64,um,O
65,país,O
66,muito,O
67,difícil,O
68,de,O
69,entrar,O
70,a,O
71,Líbia,O
72,está,O
73,lentamente,O
74,a,O
75,abrir,O
76,se,O
77,ao,O
78,turismo,O
79,.,O
80,Com,O
81,ruínas,O
82,romanas,O
83,conhecidas,O
84,mundialmente,O
85,espectaculares,O
86,paisagens,O
87,desérticas,O
88,numerosas,O
89,montanhas,O
90,e,O
91,castelos,O
92,a,O
93,Líbia,O
94,é,O
95,um,O
96,país,O
97,a,O
98,não,O
99,perder,O
100,.,O
101,Existem,O
102,provas,O
103,arqueológicas,O
104,de,O
105,que,O
106,o,O
107,país,O
108,já,O
109,era,O
110,habitado,O
111,em,O
112,8,O
113,000,O
114,a,O
115,C,O
116,a,O
117,planície,O
118,costeira,O
119,era,O
120,habitada,O
121,por,O
122,um,O
123,povo,O
124,neolítico,O
125,os,O
126,berberes,O
127,.,O
128,Mais,O
129,tarde,O
130,a,O
131,área,O
132,actualmente,O
133,conhecida,O
134,pela,O
135,Líbia,O
136,era,O
137,ocupada,O
138,por,O
139,uma,O
140,grande,O
141,variedade,O
142,de,O
143,outros,O
144,povos,O
145,como,O
146,os,O
147,fenícios,O
148,os,O
149,cartagineses,O
150,os,O
151,gregos,O
152,os,O
153,persas,O
154,os,O
155,romanos,O
156,os,O
157,vândalos,O
158,os,O
159,árabes,O
160,os,O
161,turcos,O
162,ou,O
163,os,O
164,bizantinos,O
165,a,O
166,governar,O
167,toda,O
168,ou,O
169,parte,O
170,da,O
171,área,O
172,.,O
173,Desde,O
174,1912,O
175,a,O
176,1927,O
177,o,O
178,território,O
179,do,O
180,país,O
181,era,O
182,conhecido,O
183,como,O
184,Norte,O
185,de,O
186,África,O
187,Italiana,O
188,.,O
189,De,O
190,1927,O
191,a,O
192,1934,O
193,o,O
194,território,O
195,foi,O
196,dividido,O
197,em,O
198,duas,O
199,colónias,O
200,a,O
201,Cirenaica,O
202,Italiana,O
203,e,O
204,a,O
205,Tripolitânia,O
206,Italiana,O
207,governada,O
208,por,O
209,italianos,O
210,.,O
211,Durante,O
